Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P088624,Latin America and Caribbean,Argentine Republic,Dropped,BA ity Infrastructure DO NOT USE,"All 54 documents dating from November 30, 2003 to December 16, 2004 were transferred to folder P088220 by task manager's request on January, 2005.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P088624,,,,,0,,,0,,,Specific Investment Loan,A,,"Other Water Supply, Sanitation and Waste Management",Other Transportation,Other Public Administration,,
P076246,Latin America and Caribbean,Republic of Nicaragua,Dropped,NICARAGUA - Gemina Rice Husk-to-Power,"The objective of the project is (i) to facilitate greenhouse emission reductions, and (ii) to support development of the international market  mechanism for trading ""Emission Reductions"" (ERs), developed in the framework of the Kyoto Protocol. The project is supported by  the Prototype Carbon Funnd (PCF).  The Bank established PCF in July 1999, with the operational objective of mitigating climate change.  PCF supports projects  expected to generate  greenhouse gas emission reductions while complying with requirements of joint implementation(JI, Art.6.) and the clean development  mechanism (CDM,  Art. 12)  of Kyoto Protocol.  PCF purchases high quality greenhouse gas emission reductions, which could be registered with the United Nations Framework Convention on Climate Change (UNFCCC) for the purpose of the Kyoto Protocol.  By transacting the business of reducing greenhouse gas emissions, the PCF is developing  a knowledge base of business processes and practices to facilitate climate-friendly investment and provide input for the ongoing UNFCCC  negotiations. In this particular case, the project will facilitate reduction of CO2 emissions through substituting energy from coal  with clean energy from biomass  made of rice husk produced by the Chinadega rice  and flour mill.  Th1.5MW Rice Husk-to-Power plant will produce 100% of the electrical power used at the  mill, and the electricity not consumed would be sold to local, recently privatized  distribution company. By using  rice husk, which for the most part would have been disposed in  open land fills,  the construction and operation of this electrical plant will also reduce  the release of Methane in the atmosphere, which results from the decomposition of husk left in open areas.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P076246,,,,,0,,,0,,,UNIDENTIFIED,B,,Renewable energy,,,,
P050720,Latin America and Caribbean,Republic of Paraguay,Dropped,Asuncion Municipal Development Project,"TO PROVIDE ASSISTANCE TO THE MUNICIPALITY OF ASUNCION FOR REFORM TO INCLUDE FISCAL ISSUES, DECENTRALIZATION AND CONCESSION AND PRIVATIZATION.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P050720,,,,,0,,,0,,,Specific Investment Loan,B,,(Historic)Urban management,,,,
P065181,Latin America and Caribbean,Federative Republic of Brazil,Dropped,Program to Eradicate Child Labor Project,THE PROJECT WOULD SUPPORT IMPLEMENTATION OF THE MINIMUM INCOME GUARANTEE PROGRAM AND THE PROGRAM TO ERADICATE CHILD LABOR.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P065181,,,,,0,,,0,,,Specific Investment Loan,C,,(Historic)Social protection adjustment,,,,
P059511,Latin America and Caribbean,Dominican Republic,Dropped,Solid Waste Management in Tourism Centers Project,"DOMINICAN REPUBLIC.  This has been converted into a Sector Investment Loan, due to",,,https://projects.worldbank.org/en/projects-operations/project-detail/P059511,,,,,0,,,0,,,Specific Investment Loan,A,,Waste Management,,,,
P060555,Latin America and Caribbean,Federative Republic of Brazil,Dropped,Small Municipalities Integrated Water Supply and Sanitation Project,"THE PROJECT WILL SUPPORT WATER AND SANITATION INVESTMENTS IN THE 1       00 POOREST MUNICIPALITIES OF BRAZIL SELECTED UNDER THE CRITERIA OF THE ""COMUNIDADE SOLIDARIA"" PROGRAM.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P060555,,,,,80000000,,,80000000,,,Specific Investment Loan,B,,Sanitation,Water Supply,,,
P047126,Latin America and Caribbean,United Mexican States,Dropped,Financial Sector Infrastructure Loan Project,"SUPPORT REFORM OF THE BANKRUPTCY LAW, SECURED LENDING TRANSACTIONS AND ABS LEGISLATION.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P047126,,,,,0,,,0,,,Specific Investment Loan,C,,(Historic)Other finance,,,,
P039025,Latin America and Caribbean,Organization of Eastern Caribbean States,Dropped,OECS Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P039025,,,,,,,,,,,Specific Investment Loan,B,,,,,,
P101200,Latin America and Caribbean,Republic of Paraguay,Dropped,Education Reform (APL 2),"The objective is to support the Government of Paraguay to improve: (a) learning outcomes in the lower and upper secondary levels; and (b) the internal efficiency in these two levels as measured by net enrollment rates, transition rates from lower to upper secondary and completion rates at upper secondary.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P101200,,,,,0,,,0,,,Adaptable Program Loan,C,,Secondary Education,,,,
P101242,Latin America and Caribbean,Argentine Republic,Dropped,Argentina Integrated Water Resources Management,"The objective is to assist Argentina in strengthening the capacity of its federal-level and provincial-level institutions and inter-jurisdictional organizations to move forward toward integrated water resources management, in line with the guiding principles for water policy.  The proposed Project aims to assist Argentina in strengthening the capacity of its federal-level and provincial-level institutions and inter-jurisdictional organizations to move forward towards integrated water resources management, in line with the guiding principles for water policy, through: (i) formulating participatory basin water resources management plans in selected basins, (ii) establishing a national water resources monitoring system, (iii) improving water resources management information systems for strategic planning and policy making, and (iv) initiating demonstration projects (or leading models with potential for replication in other parts of the country) to promote integrated water resources management in selected basins. It is proposed the Project is financed by a specific investment loan of about US$100 million equivalent, to be disbursed over 5-6 years, and would consist of the following three components: Component A: Water Resources Monitoring and Information Systems. This component will support the following sub-components: -  Establishing a comprehensive water resources monitoring system, by developing guidelines to harmonize water monitoring across provinces/basins; setting up a national regulatory framework for water quality based on the ongoing work on guidelines on water quality (niveles guÌa de calidad de agua ambient); strengthening and upgrading data gathering capabilities of the base resource (all sources, surface water, groundwater resources, coastal waters and atmospheric interface; and all facets, quantity and quality), data transmission, and transformation of data into information to support water resources management decisions; upgrading capabilities of regional laboratory for water quality analysis; and strengthening flood forecasting and strengthening reporting capabilities. This sub-component will also assist in setting up a management approach so as to ensure the long-term sustainability of the monitoring networks, paying special attention to their operation, maintenance, budget requirements, and availability of human resources. -  Improving water resources information systems, by assisting in establishing uniform protocols for data gathering, data transmission, data storage, data retrieval and reporting capabilities of all the monitoring systems mentioned above. Protocols will include provisions to provide quality assurance and quality guaranties across the national territory. This component will also assist in setting up an integrated water resources dynamic information framework (DIF) that manages climate, land use, water, and related socio-economic data and to provide technicians and decision-makers with reliable data and information for water resources monitoring and planning and management. Component B: IWRM Institutional Capacity Building. This component will support the following sub-components: -  Strengthening planning capacity of federal and provincial level water administrations and river basin commissions with delegated planning responsibilities by assisting them in the formulation of harmonized provincial water resources management strategies and river basin management plans aimed achieving sustainable development and use of the resource base.  Preparation of basic socio-economic/environmental studies and prospective modeling studies will also be supported under this sub-component. The planning process would follow a participatory approach in dealing with cross-cutting issues and in taking into account the ecosystems and socio-economic structures of each basin. The Project will provide financial resources to support the mobilization of different actors. -  Strengthening the institutional framework of pa",,,https://projects.worldbank.org/en/projects-operations/project-detail/P101242,,,,,0,,,0,,,Specific Investment Loan,B,,"Other Water Supply, Sanitation and Waste Management",Irrigation and Drainage,"Other Agriculture, Fishing and Forestry",,
P101518,Latin America and Caribbean,Federative Republic of Brazil,Dropped,Disease Surveillance & Control (VIGISUS III),"The VIGISUS Project is an Adjustable Program Lending (APL) which seeks to contribute to the reduction of mortality and morbidity and decrease exposure to risk factors associated with ill health through strengthening the national public health surveillance and disease control system, and supporting disease prevention and control for indigenous populations.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P101518,,,,,0,,,0,,,Adaptable Program Loan,B,,Health,Central Government (Central Agencies),Sub-National Government,,
P120417,Latin America and Caribbean,United Mexican States,Closed,Mexico FCPF Readiness Preparation Grant,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P120417,,,,,0,,,0,,,,,,Forestry,,,,
P121603,Latin America and Caribbean,Argentine Republic,Dropped,Improving tax administration in Buenos Aires province,"To increase tax compliance in the Province of Buenos Aires through improvements in ARBA#s management and service model. The objective will be achieved by: (i) the implementation of the single taxpayer account; (ii) institutional strengthening of ARBA, (iii) the improvement in tax evasion detection, control and monitoring, and (iv) the enhancement of taxpayers# services.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P121603,,,,,0,,,0,,,Specific Investment Loan,C,,Sub-National Government,,,,
P159928,Latin America and Caribbean,Argentine Republic,Dropped,WATER SUPPLY AND SANITATION DEVELOPMENT PROGRAM ñ PLAN BELGRANO,"The PDO is to increase access to water supply and sanitation services, to improve the quality of services, and the financial perform ance of the WSS operators, in the provinces that form part of Plan Belgrano.",,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P159928,,,,,250000000,,,250000000,,,Investment Project Financing,A,,,,,,
P162005,Latin America and Caribbean,Plurinational State of Bolivia,Dropped,Bolivia - Water and Sanitation in Peri-Urban Areas,The Project Development Objective (PDO) is to increase access to water and sewerage services in targeted areas and to improve climat e resilience in the operations of targeted participating utilities.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P162005,,,,,0,,,0,,,Investment Project Financing,B,,,,,,
P154998,Latin America and Caribbean,United Mexican States,Dropped,Mexico City Water Supply Service Improvement Project,The Project Development Objective (PDO) is to improve the quality and efficiency of the water supply service in selected areas of Mexico City.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P154998,,,,,400000000,,,400000000,,,Investment Project Financing,B,,,,,,
P170478,Latin America and Caribbean,Republic of Peru,Pipeline,Supporting investments in education for human capital development in Peru,The Project Development Objective (PDO) is to improve the use of technology as part of the learning process of students from vulnera ble contexts,,,https://projects.worldbank.org/en/projects-operations/project-detail/P170478,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P170525,Latin America and Caribbean,Republic of Colombia,Dropped,Construyendo Comunidades de Paz,To improve access to services and economic opportunities in selected conflict- affected communities in Colombia.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P170525,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P176771,Latin America and Caribbean,United Mexican States,Dropped,Mexico: Sustainable Urban Development,"To improve living conditions of vulnerable households through green, resilient and inclusive urban infrastructure investments in sel ected municipalities in Mexico.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P176771,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P176982,Latin America and Caribbean,Federative Republic of Brazil,Pipeline,Brazil: Espirito Santo Water Security Management Project,"(i) to strengthen the Borrowerís capacity to manage water security risks in a changing climate; (ii) to reduce those risks in select ed areas of the Borrowerís territory; and (iii) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P176982,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P177679,Latin America and Caribbean,Sint Maarten,Pipeline,Improving Mental Health Services in Sint Maarten,Improve the capacity of mental health service delivery in Sint Maarten,,,https://projects.worldbank.org/en/projects-operations/project-detail/P177679,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P178049,Latin America and Caribbean,Republic of Costa Rica,Pipeline,Costa Rica Climate Resilient Recovery and Territorial Development Project,The PDO is to increase access to disaster and climate resilient infrastructure and services in selected regions of the Republic of C osta Rica,,,https://projects.worldbank.org/en/projects-operations/project-detail/P178049,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P178663,Latin America and Caribbean,Federative Republic of Brazil,Pipeline,Progest„o PiauÌ: Public Sector Management Efficiency,Improve efficiency in public resource management in selected departments of the State of PiauÌ.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P178663,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P179519,Latin America and Caribbean,Organization of Eastern Caribbean States,Pipeline,Caribbean Efficient and Green-Energy Buildings Project,To enhance efficiency of energy use in public buildings and increase renewable energy supply for public buildings in Eastern Caribbe an countries.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P179519,,,,,0,,,0,,,Investment Project Financing,,,,,,,
P179771,Latin America and Caribbean,Republic of Panama,Pipeline,Panama Partnership for Market Implementation,"The proposed PDO is to support the Government of Panama to develop and pilot carbon pricing and mitigation instruments aligned with national development priorities, including the ATE, the PNRTH, and the MNCP.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P179771,,,,,1615000,,,1615000,,,Investment Project Financing,,,,,,,
P052269,Latin America and Caribbean,Republic of Haiti,Dropped,Economic and Social Fund Project (02),THE PROJECT WILL SUPPORT CONTINUED FINANCING OF SMALL-SCALE SUBPROJECT IN THE SOCIAL SECTORS.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P052269,,,,,0,,,0,,,Specific Investment Loan,C,,Central Government (Central Agencies),"Other Water Supply, Sanitation and Waste Management",Health,,
P086626,Latin America and Caribbean,Republic of Ecuador,Dropped,Agricultural Competitiveness and Sustainable Rural Development (CADERS),"The development objective of the proposed project is to improve agricultural competitiveness through better-competing productive alliances, strengthened selected value chains, and an improved information system of MAG.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P086626,,,,,0,,,0,,,Specific Investment Loan,B,,"Agricultural Extension, Research, and Other Support Activities","Other Agriculture, Fishing and Forestry",,,
P103015,Latin America and Caribbean,Republic of Colombia,Dropped,Colombia: Cartagena Landfill Gas Recovery Project,"The objective of the project is to improve solid waste final disposal practices in the two landfills of Cartagena, Colombia. Such improvement will be carried out through landfill gas capture and flaring facilities, to be installed at each site. Once operative, the plants will be able to flare the methane that is part of the landfill gas, therefore contributing to mitigate the global warming effect. Moreover, air quality is expected to improve as landfill gas usually contains hazardous substances, such as non-methane volatile organic compounds, that will be destroyed in the flaring process.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P103015,,,,,0,,,0,,,,B,,Waste Management,,,,
P099850,Latin America and Caribbean,Republic of Paraguay,Dropped,Land Access and Administration,"The objectives are to: (a) strengthen land policy and land institutions, (b) improve land administration in rural areas, and (c) broaden land access.  The project will have three components: 1) Strengthening Land Policy and Land Institutions; 2) Improving Land Administration in Rural Areas; and 3) Broadening Land Access. The first component, Strengthening Land Policy and Land Institutions, will carry out policy studies, perform consultations and information dissemination with stakeholders and prepare legal/regulatory instruments in priority areas including the identification, use and planning for remaining public lands, public land acquisition and land improvement, land taxation and land market regulation, and the organization and functioning of the National Institute for Rural Development and Land (INDERT). The second component, Improving Land Administration in Rural Areas will update land titles in selected areas of the country, improve registration systems and settle land conflicts. The third component, Broadening Land Access will implement a set of innovative activities to make productive land available to poor rural inhabitants through a beneficiary-led purchase and rental program and contract-farming models. In sum, the project will will initiate land access schemes through regional offices of INDERT, and deliver land titles to low-income families with insecure property rights through the coordinated efforts of INDERT and Public Registries Directorate (DGRP).",,,https://projects.worldbank.org/en/projects-operations/project-detail/P099850,,,,,0,,,0,,,Specific Investment Loan,C,,"Other Agriculture, Fishing and Forestry",,,,
P095490,Latin America and Caribbean,Plurinational State of Bolivia,Dropped,BO Productivity and Job Creation (formerly Competitiveness),"The objective is to increase productivity and job creation through (a)
 facilitating access to financial services by more micro, small and medium
 enterprises, and (b) improving the investment climate.  Promote pro-poor growth competitiveness of SMEs in Bolivia",,,https://projects.worldbank.org/en/projects-operations/project-detail/P095490,,,,,0,,,0,,,Specific Investment Loan,B,,"Other Industry, Trade and Services",Micro- and SME finance,Other Information and Communications Technologies,,
P119225,Latin America and Caribbean,Republic of Paraguay,Dropped,Productive Initiatives for Solidarity,"The Development Objective of the Productive Initiatives for Solidarity project (PIPS) is to support socially inclusive alliances of poor and extreme poor engaged in small-scale income-generating activities to complement their livelihoods and improve revenues, in selected districts.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P119225,,12/27/2011,,,0,,,0,,,Specific Investment Loan,B,,Social Protection,"Other Agriculture, Fishing and Forestry",Public Administration - Social Protection,,
P110024,Latin America and Caribbean,Republic of Panama,Dropped,Second Land Administration Additional Financing,"DON'T PUB DROPPED.  The new operation would benefit landless small farmers, especially young people, who are currently working as ""jornaleros"", and promote their access to lands with high potential for productivity (most likely in the provinces on the Pacific cost). Based on the experience of other countries in the Region (e.g., Mexico, Brazil, and Bolivia), the new operation would support organized groups of farming households in obtaining loans and matching grants to purchase or rent productive farm lands. The acquisition or rental of a parcel of land would be accompanied by complementary activities to help small farmers implement sustainable productive projects. Beneficiaries would receive technical assistance and training in innovative and profitable on-farm and off-farm activities and techniques, marketing, organization and management to help them preparing successful business plans that are environmentally sound. The new operation would include a smaller component to support the geographical expansion of land administration activities to cover additional rural areas in the provinces of Panama and ColÛn and costal areas, thereby completing such activities in the entire country jointly with the IDB operations.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P110024,,,,,0,,,0,,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",,,,
P116443,Latin America and Caribbean,Co-operative Republic of Guyana,Dropped,Community non-Timber Forest Uses,"The objective is to help improve the livelihoods of forest-dependent communities, while strengthening the sustainable management of forests, through the management and marketing of non-timber forest products (NTFPs) and forest-based services.  This IDA project would: (i) support multipurpose forest management by local and indigenous communities, including non-extractive uses; (ii) help strengthen the institutional capacity of the Guyana Forest Commission to fulfill its core functions; and (iii) help the Government and local communities to engage in new systems of payments for carbon and other environmental services.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P116443,,,,,0,,,0,,,Specific Investment Loan,A,,Forestry,"Other Agriculture, Fishing and Forestry",,,
P083010,Latin America and Caribbean,Republic of Ecuador,Dropped,Low-income Neighborhood Upgrading and Urban Land Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P083010,,,,,0,,,0,,,Specific Investment Loan,B,,"Other Water Supply, Sanitation and Waste Management",Waste Management,,,
P090114,Latin America and Caribbean,Republica Bolivariana de Venezuela,Dropped,DROPPED-VE National Environmental Mngmt.,"This task will focus primarily on water-shed management, and on water and sanitation. The scope will be at a national level.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P090114,,,,,0,,,0,,,Specific Investment Loan,B,,Waste Management,Forestry,Sub-National Government,,
P008053,Latin America and Caribbean,Republic of Peru,Dropped,Water Management and Coastal Pollution Control Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008053,,,,,,,,,,,Specific Investment Loan,A,,,,,,
P007673,Latin America and Caribbean,United Mexican States,Dropped,Industrial Pollution Prevention & Control Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007673,,,,,,,,,,,Specific Investment Loan,C,,,,,,
P007315,Latin America and Caribbean,Republic of Haiti,Dropped,Sustainable Intensification of Agriculture Project,"WITHIN CONTEXT OF ESTABLISHED RURAL DEV. STRAT. PROJECT AIM AT ENHANCI CAPACITY OF PUBLIC PRIVATE AGENCIES; PROVIDE AGRI. SERVICES TO RURAL FARMERS, THEREBY PROMOTING MORE EFFECTIVE AND DECENTRALIZE D RURAL DEVELOPMENT; ENHANCING FOOD SECURITY BY INCREASING AND DIVERSI FYING FOOD SUPPLY; REDUCING RURAL POVERTY BY RAISING THE LIVING STAND- ARD OF POOR SMAL FARMERS THROUGH IMPROVEMENT AND RESTORATION OF THE PR PRODUCTIVE POTENTIAL OF THEIR RESOURCE BASE.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P007315,,,,,0,,,0,,,Specific Investment Loan,B,,(Historic)Agriculture adjustment,,,,
P006950,Latin America and Caribbean,Republic of Costa Rica,Dropped,Interest Support Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006950,,,,,,,,,,,Debt and Debt Service Reduction Loan,C,,,,,,
P007198,Latin America and Caribbean,Republic of Guatemala,Dropped,Public Sector Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007198,,,,,0,,,0,,,Technical Assistance Loan,C,,(Historic)Public sector management adjustment,,,,
P006144,Latin America and Caribbean,Plurinational State of Bolivia,Closed,Forestry Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006144,,,,,,,,,,,Specific Investment Loan,,,Forestry,,,,
P006385,Latin America and Caribbean,Federative Republic of Brazil,Closed,PETROCHEMICALS II,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006385,,,,,,,,,,,Specific Investment Loan,,,(Historic)Industrial adjustment,,,,
P006527,Latin America and Caribbean,Federative Republic of Brazil,Dropped,Land Management Project (04) - Mato Grosso do Sul,TO IMPROVE NATURAL RESOURCES PROTECTION AND GENERAL SUSTAINABLE PRODUCTIVITY GAINS THROUGH IMPROVED SOIL CONSERVATION AND LAND MANAGEMENT IN 320 PROBLEMATIC CATCHMENTS/MICROCATCHMENTS OF MATO GROSSO DO SUL TOTALLING ABOUT 2.5 MILLION HA.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006527,,,,,0,,,0,,,Specific Investment Loan,C,,(Historic)Agriculture adjustment,,,,
P074751,Latin America and Caribbean,United Mexican States,Dropped,Chiapas Programmatic Economic Development Laon (PEDL) Project,"Project Development Objective (Note: will be disclosed in the MOS) Primarily this program of reforms in Chiapas aims to improve the quality, quantity and targeting of public services, toward the ultimate objective of promoting p overty reduction through economic growth.  The program will include strong attention to problems with governa nce that have subverted public sector activities in the past, and will  address the problems in the specific s ectors that are most relevant for poverty reduction and growth.  The  measures to strengthen sector programs a nd reform public administration will have fiscal as well as political  costs, so it is important to include in the program the necessary reforms of fiscal management to assure sustainability.  Board Schedule Comments",,,https://projects.worldbank.org/en/projects-operations/project-detail/P074751,,,,,0,,,0,,,Structural Adjustment Loan,U,,Sub-National Government,Other Education,,,
P060923,Latin America and Caribbean,Oriental Republic of Uruguay,Dropped,Coastal Contamination - Fish Project,PROJECT WOULD POSSIBLY FINANCE THE FOLLOWING COMPONENTS INCREMENTAL TO THE BANK COASTAL & MARINE MANAGEMENT PROJECT: (A) PROMOTION OF NEW TECHNOLOGIES TO AVOID COLLISIONS AND PROMOTE NAVIGATIONAL SAFETY; (B) ADOPTION OF METHODS TO MINIMIZE DISCHARGE OF TOXIC SUBSTANCES; (C) PREVENTION AND MITIGATION OF COASTAL CONTAMINATION; AND (D) IMPLEMENTATION OF MANAGEMENT PLANS TO MINIMIZE THE RISKS TO ECOLOGICALLY SENSITIVE AREAS.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P060923,,,,,0,,,0,,,UNIDENTIFIED,B,,Sanitation,Ports/Waterways,Fisheries,,
P161731,Latin America and Caribbean,Plurinational State of Bolivia,Dropped,Rural Water Access Project,The Project Development Objective is to improve access of drinking water supply and clean energy services for low-income populations  in rural areas.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P161731,,,,,0,,,0,,,Investment Project Financing,B,,,,,,
P162982,Latin America and Caribbean,Republic of Nicaragua,Dropped,Dry Corridor Climate Resilient Agriculture Project,To strengthen agricultural productivity and climate resilience in selected municipalities of the Dry Corridor of Nicaragua.,,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P162982,,,,,0,,,0,,,Investment Project Financing,B,,"Agricultural Extension, Research, and Other Support Activities",Irrigation and Drainage,"Agricultural markets, commercialization and agri-business",,
P127864,Latin America and Caribbean,Argentine Republic,Dropped,Social Inclusion SWAp,The objective of the Project is to improve access to primary health and secondary education services among the underserved population and strengthen provincial public management systems in the Province of Salta.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P127864,,,,,0,,,0,,,Specific Investment Loan,C,,Secondary Education,Sub-National Government,Health,,
P150468,Latin America and Caribbean,Republic of Colombia,Dropped,Improved Fiscal Management Systems Project,"The Project's higher level objective is to enhance public sector management and the use of high-quality performance information on public programs, aiming to enable the improvement of service delivery to citizens. Specifically, the Project Development Objective would be to improve public sector processes and systems in order to generate quality performance information.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P150468,,,,,0,,,0,,,Investment Project Financing,C,,Central Government (Central Agencies),,,,
P151940,Latin America and Caribbean,Organization of Eastern Caribbean States,Dropped,OECS Fin Sec Strengthening,"The project development objective is to strengthen the financial sector by facilitating the resolution of Non Performing Loans, strengthening the banking sector and establishing a financial sector safety net.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P151940,,,,,26000000,,,26000000,,,Investment Project Financing,C,,Banking Institutions,Other Non-bank Financial Institutions,,,
