"project.id","country","p.n","p.do","p.cdate","p.invest","p.year"
"p175669","argentine republic","sustainable recovery of landscapes and livelihoods in argentina project","to improve the management and resilience of ecosystems and related livelihoods of local communities in selected conservation and pro duction landscapes and seascapes",2027-05-31,6e+07,2027
"p176781","argentine republic","promoting better jobs through integrated labor and skills programs","improve the employment of targeted groups and strengthen the quality and availability of training and employment services in argenti na",2026-04-30,2.5e+08,2026
"p177987","belize","belize covid19 response project","to support the government of belize in the acquisition and deployment of project covid19 vaccines",2024-04-30,6200000,2024
"p176297","republic of peru","strengthening perus national science technology and innovation system","the objective of the project is to improve science technology and innovation services in targeted strategic areas and regions",2027-12-30,1.25e+08,2027
"p176983","republic of ecuador","ecuador green and resilient recovery egarr dpf","this operation seeks to assist the government in its agenda to tackle selected structural challenges to foster growth inclusion jo b creation and climate resilience strengthen lowcarbon development and help realize its commitment to become carbon neutral by 20 50",2023-01-31,0,2023
"p176105","oriental republic of uruguay","strengthening pedagogy and governance in uruguayan public schools project",NA,2027-06-30,4e+07,2027
"p170854","republic of el salvador","el salvador integrated landscape management and restoration","the proposed project development objective pdo is to promote integrated landscape management and restoration in targeted areas of el salvador",2026-08-31,4e+06,2026
"p178181","republic of peru","peru covid19 vaccination project","to increase covid19 vaccination coverage among the population of peru",2022-10-28,5.03e+08,2022
"p176650","republic of colombia","third disaster risk management development policy loan with a cat ddo",NA,2025-06-15,0,2025
"p176905","argentine republic","climate intelligent and inclusive agrifood systems project","the objectives of the project are to i support economic recovery and promote climate smart practices among project beneficiaries i n argentinas agrifood system and ii respond effectively in case of an eligible crisis or emergency",2027-06-15,5.5e+08,2027
"p176943","st vincent and the grenadines","saint vincent and the grenadines volcanic eruption emergency project","the project development objective pdo is to support saint vincent and the grenadines to i provide shortterm income support ii  improve the capacity of the government to prepare for and respond to emergencies and iii build back better critical services in  the wake of the la soufriere volcano eruption",2026-12-30,4.2e+07,2026
"p176232","oriental republic of uruguay","uruguay agroecological and climate resilient systems project","i strengthen agricultural public systems and rural producers to increase climate change adaptation and mitigation actions and prom ote agroecological production and ii respond effectively in case of an eligible crisis or emergency",2026-11-30,52500000,2026
"p176505","republic of colombia","colombia social and economic integration of migrants dpf","the pdo for the operation is to support the social and economic integration of migrants from venezuela in host areas",2023-11-15,0,2023
"p175988","federative republic of brazil","scaling up the digital procurement application for cdd sol project","the project development objective is to scale up the adoption of open source electronic procurement software by governments for cdd projects in brazil and in other countries of the latin america and the caribbean region and to foster a collaborative community to m aintain the software",2023-04-30,1e+05,2023
"p175745","latin america","fcpf capacity building on redd for indigenous peoples civil society and local communities in lac project","the project development objective pdo is to strengthen the engagement of targeted forestdependent peoples and southern csos in re dd at the country and regional levels in lac",2023-02-28,2600800,2023
"p170848","dominican republic","integrated landscape management in dominican republic watersheds","the objective of the project is to strengthen integrated landscape management in targeted watersheds in the dominican republic",2026-09-30,4063927,2026
"p173743","republic of haiti","private sector jobs and economic transformation psjet","contribute to labor demand by supporting msmes and value chains resilience and growth through improved business development services  and access to financial resources",2027-05-31,1.05e+08,2027
"p175801","republic of colombia","competitiveness and recovery  development policy loan","the development objective of the program supported by the proposed  operation is to encourage a highproductivity and sustainable re covery from the covid19 crisis by i improving regulation for private sectorled recovery ii promoting innovation and digital f inance and iii fostering entrepreneurship and internationalization",2023-01-30,0,2023
"p174730","republic of peru","spf peru emergency response for venezuelan migrants and refugees",NA,2022-06-30,3499797,2022
"p174812","republic of peru","transmission investment plan pit to support postcovid19 green economic recovery in peru","to increase electricity availability and reliability in selected areas of peru and support the modernization of the power sector reg ulatory framework",2026-11-30,0,2026
"p167132","republic of guatemala","guatemala emissions reduction program","to make payments to the program entity for measured reported and verified emission reductions er from reduced deforestation and f orest degradation as well as the enhancement of forest carbon stocks redd in targeted areas of guatemala and to ensure that pai d amounts are distributed according to an agreed benefit sharing plan bsp",2025-12-31,52500000,2025
"p173484","republic of panama","panama open contracting and public infrastructure transparency","to support the implementation of an open contracting approach that strengthens availability and use of data on public procurement w ith an emphasis on public infrastructure",2023-12-31,358900,2023
"p161316","st lucia","renewable energy sector development project","the development objective is to inform the government of saint lucia on the viability of its geothermal resource for power generatio n and strengthen the enabling environment to scaleup clean energy investments with the private sector",2025-12-31,21862000,2025
"p172079","united mexican states","connecting watershed health with sustainable livestock and agroforestry production project","improve integrated landscape management and promote climatesmart productive practices in selected watersheds",2026-07-31,13761468,2026
"p174786","republic of costa rica","costa rica second fiscal and decarbonization management dpl",NA,2022-08-31,0,2022
"p175616","latin america","second central america and caribbean catastrophe risk insurance project","the project development objective pdo is to improve the affordability of highquality sovereign catastrophe risk transfer associat ed with earthquakes and climaterelated events for ccrif spc participating countries",2024-06-28,23244416,2024
"p174707","republic of haiti","promoting a more equitable sustainable and safer education",NA,2026-06-30,105600000,2026
"p176387","republic of peru","investing in human capital dpf ii","the program development objective pdo is to support government policies to protect and invest in human capital accumulation throug h a improving delivery of social protection and early childhood development services b increasing access to health services an d ensuring continuity of care and c improving teacher management and professional development systems",2022-12-31,0,2022
"p175492","barbados","barbados covid19 response and recovery dpf",NA,2022-06-30,0,2022
"p174177","republic of peru","peru strengthening of the public health emergency preparedness and response","to strengthen epidemiological surveillance and public health emergency preparedness in peru",2026-06-30,85970000,2026
"p173012","jamaica","jamaica catastrophe bond for increased financial resilience to natural disasters and climate shocks","to expand jamaicas financial protection against losses arising from severe tropical cycloneswind",2024-06-21,16365000,2024
"p173464","caribbean",NA,"the project development objective pdo is to improve the capacity of civil society organizations to reduce threats to globally impo rtant biodiversity in the caribbean islands biodiversity hotspot",2027-10-31,13900000,2027
"p174244","cooperative republic of guyana","guyana education sector program project","the objective of the project is to i improve learning conditions at the nursery level in select areas ii increase use of techn ologyassisted learning at the primary level in select areas and iii improve functionality of the education management informatio n system nationally",2024-06-30,6700000,2024
"p174328","republic of honduras","innovation for rural competitiveness project  comrural iii","i to contribute to market access adoption of climatesmart approaches and job creation in support of project beneficiaries in se lected agrifood value chains and ii in case of an eligible crisis or emergency to respond effectively to it",2027-06-15,146100000,2027
"p172535","republic of colombia","colombia resilient and inclusive housing project","to improve the quality of housing and public space for vulnerable households including migrants from venezuela in selected municip alities",2026-07-24,136700000,2026
"p171778","dominican republic","water supply and wastewater services improvement project","to increase access to and improve quality and efficiency of water supply and sanitation services in target areas of the dominican re public",2026-05-27,43500000,2026
"p175490","commonwealth of the bahamas","the bahamas covid19 response and recovery dpf","the development objective of this operation is to support covid19 relief and lay the foundation for resilient economic recovery in the bahamas",2022-06-30,0,2022
"p175126","republic of colombia","resilient and sustainable infrastructure for recovery dpf 2","the development objective of this programmatic series is to support the government of colombias multiyear efforts to sustain access  to critical infrastructure services for firms and households following the covid19 crisis while establishing the policy foundatio ns for recovery through sustainable and resilient infrastructure",2022-06-30,0,2022
"p175111","republic of colombia","spf colombia covid19 response for migrants from venezuela and host communities","to provide economic support to help mitigate the impacts of the covid19 pandemic on vulnerable venezuelan migrants and host communi ties in selected colombian municipalities",2022-05-31,3248882,2022
"p170391","republic of guatemala","guatemala dedicated grant mechanism for indigenous peoples and local communities project","the project development objective is to strengthen the capacity of and benefits gained by indigenous peoples and local communities  in their role in sustainable forest and natural resource management",2026-04-30,4500000,2026
"p175138","argentine republic",NA,"the project development objectives are to a improve the reliability and safety of the mitre line and b increase accessibility in the metropolitan area of buenos aires",2026-06-30,382767500,2026
"p174946","argentine republic","digital inclusion and innovation in public services in argentina","to improve the efficiency of and access to selected digital administrative services",2025-06-30,88900000,2025
"p164134","republic of nicaragua","nicaragua dry corridor nutritionsensitive agriculture project","to strengthen agricultural productivity climate resilience and nutritional security in selected municipalities of the dry corridor  of nicaragua",2025-03-31,2739800,2025
"p174440","republic of peru","peru strengthening foundations for post covid19 recovery dpf","the program development objective is to support government policies aimed at i strengthening institutions to mitigate the social and economic impact of the covid19 pandemic and ii reinforcing structural foundations for an inclusive and climate smart economi c recovery",2022-05-31,0,2022
"p173017","caribbean",NA,"the project development objective is to contribute to improving biodiversity conservation in biodiversity hotspots located in four c aribbean countries dominican republic and antigua and barbuda with adaptive replication in jamaica and saint lucia through collabo rative social accountability mechanisms between governments citizens and civil society organizations csos",2025-08-31,5e+05,2025
"p174927","commonwealth of dominica","dominica first covid19 response and recovery programmatic dpc","the operation seeks to support dominica in its covid19 pandemic response and recovery by i saving lives protecting livelihoods and preserving jobs and ii strengthening fiscal policies public financial management and debt transparency for a resilient recov ery",2021-12-31,0,2021
"p172611","sint maarten","sint maarten digital government transformation project","to enhance the access efficiency and resilience of selected administrative public services for citizens and businesses",2025-05-30,1.2e+07,2025
"p174531","jamaica","jamaica covid19 response and recovery development policy financing","the development objective of this operation is to assist in jamaicas response to the covid19 crisis by i protecting poor and vu lnerable people ii supporting sustainable business growth and job creation and iii strengthening policies and institutions for  resilient and sustainable recovery",2022-03-31,0,2022
"p174111","republic of haiti","adaptive social protection for increased resilience project","the pdo is to deliver cash transfers to targeted households and establish the foundations for an adaptive safety net system in haiti  to respond to shocks including covid19",2027-06-30,7.5e+07,2027
"p172689","argentine republic","buenos aires water supply and sanitation with a focus on vulnerable areas program",NA,2026-05-26,576605000,2026
"p173621","federative republic of brazil","supporting smart urban water management in the recife metropolitan region retf","improve the nonrevenue water management program and support the modernization of water supply and sanitation service delivery in th e recife metropolitan region through the piloting of innovative smart water approaches",2021-07-31,1300000,2021
"p161182","dominican republic","dominican republic emissions reduction program","the proposed project development objective pdo is to make payments to the program entity the dominican republic represented by th e ministry of finance for measured reported and verified emissions reductions ers from reduced deforestation forest degradation  and the enhancement of forest carbon stocks redd at the national level in the dominican republic and to distribute er payments i n accordance with an agreed benefit sharing plan",2025-12-31,2.5e+07,2025
"p175878","republic of nicaragua","nicaraguahurricanes eta and iota emergency response project",NA,2025-03-31,8e+07,2025
"p172647","united mexican states","mexico national digital identity system to facilitate inclusion","the proposed project development objective pdo is to strengthen mexicos foundational id system to ensure a unique identity for al l mexicans and foreign residents to facilitate id verification and authentication for services and benefits",2026-06-30,2.25e+08,2026
"p174150","united mexican states","mexico strengthening economic sustainability dpf","to facilitate economic resilience and support fiscal and environmental sustainability",2021-12-31,0,2021
"p174346","st lucia","saint lucia covid19 response recovery and resilience development policy credit","the proposed operation aims to mitigate the negative economic effects and risks from covid19 on the most vulnerable and to strength en mediumterm resilience and sustainability by i protecting lives and livelihoods in response to covid19 ii ensuring busines s continuity and financial resilience and iii enhancing public sector and public debt management for the postcrisis recovery",2021-12-31,0,2021
"p173480","republic of guatemala","responding to covid19 modern and resilient agrifood value chains","the objective of the project is to promote an agroindustrialization strategy that reduces food losses increases the adoption of cl imateresilient technologies and supports the covid19 emergency response for beneficiaries in select value chains",2026-12-15,1.79e+08,2026
"p175977","republic of honduras","honduras tropical cyclones eta and iota emergency recovery project","the project development objective is to support honduras response and recovery needs and strengthen institutional capacity to manag e a resilient and inclusive recovery and reconstruction",2026-12-31,1.5e+08,2026
"p173698","republic of guatemala","crisis response and recovery in guatemala dpl",NA,2022-11-03,0,2022
"p174000","united mexican states","environmental sustainability and urban resilience dpf","support i strengthening environmental sustainability and resilience and ii expanding access to resilient urban infrastructure a nd social housing",2021-12-31,0,2021
"p174527","grenada","grenada covid19 crisis response and fiscal management dpc",NA,2021-12-31,0,2021
"p172455","federative republic of brazil","first amazonas fiscal and environmental sustainability programmatic dpf","to support the state of amazonas in strengthening fiscal sustainability and integrating forest conservation and development",2022-12-30,0,2022
"p173823","republic of nicaragua","nicaragua covid19 response","the objective of the project is to support nicaraguas readiness to respond to the covid19 pandemic",2025-06-30,2e+07,2025
"p174107","republic of panama","panama pandemic response and growth recovery development policy operation","the objective of this operation is to protect human capital during the covid19 crisis while strengthening institutions to foster h uman capital accumulation and support a more inclusive and sustainable economic recovery",2021-12-31,0,2021
"p160368","republic of costa rica","costa rica redd emission reductions program","the objective of the emission reductions program er program is to make payments to the program entity for measured reported and v erified emission reductions ers related to reduced deforestation and forest degradation the enhancement of forest carbon stocks  redd at the national level in costa rica and distribution of er payments in accordance with agreed benefit sharing plan bsp",2025-12-31,6e+07,2025
"p174677","republic of nicaragua","nicaragua covid19 education sector response project",NA,2022-10-31,6770000,2022
"p175268","cooperative republic of guyana","guyana covid19 emergency response project","to prevent detect and respond to the threat posed by covid19 and strengthen national systems for public health
preparedness in guy ana",2023-06-30,7500000,2023
"p174115","republic of ecuador","ecuador third inclusive and sustainable growth dpl","this dpf series supports measures aimed at i responding to covid19 to protect the vulnerable ii removing barriers to private se ctor development and supporting the economic recovery iii promoting public sector efficiency and fiscal sustainability postcrisis ",2021-12-31,0,2021
"p174197","federative republic of brazil","brazil income support for the poor affected by covid19","the objective of the project is to mitigate the negative economic effects associated with covid19 on income and risks of damaging h uman capital of poor families",2022-12-31,1e+09,2022
"p172582","sint maarten","child resilience and protection project","the objective of the project is to strengthen the capacity of the education and child protection systems to address and respond to t he needs of children and adolescents resulting from natural disasters and external shocks",2024-07-31,4488000,2024
"p171976","republic of haiti","haiti digital acceleration project","the project development objectives are to increase access to broadband services in haiti and establish the foundations of digital re silience to respond to shocks",2026-10-15,6e+07,2026
"p173424","republic of colombia","resilient and sustainable infrastructure for recovery dpf","the development objective do of this programmatic series of operations is to sustain access to critical infrastructure services fo r firms and households following the covid19 crisis while establishing the policy foundations for recovery through sustainable and  resilient infrastructure",2022-03-31,0,2022
"p173283","republic of ecuador","territorial economic empowerment for the indigenous afroecuadorians and montubian peoples and nationalities teeipam","the project development objective pdo is to improve livelihoods and support covid19 relief for targeted indigenous peoples and na tionalities afroecuadorians and montubians in accordance with their vision and priorities for development",2026-12-31,4e+07,2026
"p172605","federative republic of brazil","salvador social multisector service delivery project ii","to improve the efficiency of social service delivery in the municipality of salvador in the social assistance education and health  sectors",2024-12-30,2.5e+08,2024
"p172899","republic of ecuador","promoting access to finance for productive purposes for msmes","the project development objective is to promote access to finance for productive purposes for micro small and medium enterprises in  the context of the covid19 crisis",2025-12-31,0,2025
"p173989","republic of trinidad and tobago","republic of trinidad and tobago covid19 emergency response project","to detect and respond to the threat posed by covid19 and to strengthen the national health system for the emergency response to the  covid19 pandemic",2024-06-30,2e+07,2024
"p171474","republic of haiti","haiti covid19 response and resilience development policy operation","the development objective of the proposed dpo is to support the republic of haiti mitigate the impacts of the current covid19 outbr eak and enhance resilience to natural hazards and healthrelated shocks",2022-06-30,0,2022
"p174145","dominican republic","dominican republic covid19 crisis response support",NA,2021-03-31,0,2021
"p171912","republic of costa rica","first fiscal and decarbonization management dpl",NA,2021-06-30,0,2021
"p173854","republic of guatemala","guatemala covid19 response","to prevent detect and respond to the threat posed by covid19 and strengthen national systems for public health preparedness in the  republic of guatemala",2022-05-31,2e+07,2022
"p172339","sint maarten","st maarten civil society partnership facility for resilience project cspfrp","the project development objective pdo is to improve the capacity of civil society organizations and support implementation of reco nstruction and resilience subprojects at the community level",2024-06-28,7200000,2024
"p174118","republic of colombia","covid19 crisis response dpf","the do of this operation is to help colombia i support the capacity of the health system ii provide income and nutrition suppor t to poor and vulnerable households and iii maintain liquidity and access to finance for firms in response to covid19",2021-06-30,0,2021
"p172796","oriental republic of uruguay","uy  covid19 response  economic recovery","the development objective of the proposed operation is to support the government of uruguay in i mitigating the economic and socia l impact of the covid19 outbreak and ii laying the foundations for a strong and resilient economic recovery",2021-12-31,0,2021
"p169956","st vincent and the grenadines","second fiscal reform and resilience development policy credit with a cat ddo","the development objective is to support the gosvg in i responding to the covid19 pandemic to protect the vulnerable ii streng thening fiscal resilience and iii enhancing climate and disaster resilience",2023-06-30,0,2023
"p171528","caribbean","caribbean digital transformation project","to increase access to digital services technologies and skills by governments businesses and individuals in the participating east ern caribbean countries",2026-06-22,0,2026
"p173125","republic of honduras","urban water supply strengthening project","to improve the quality and efficiency of water supply services delivered by participating urban water providers and support urban mu nicipalities to respond to water supply and sanitation emergency needs",2025-12-30,0,2025
"p169901","republic of honduras","water security in the dry corridor of honduras","to improve water service delivery and strengthen water governance in selected areas of the dry corridor of honduras",2025-12-30,0,2025
"p173881","republic of panama","panama covid19 emergency response","to prevent detect and respond to the threat posed by covid19 and strengthen national systems for public health preparedness in the  republic of panama",2023-12-29,1.2e+08,2023
"p166039","st lucia","oecs procurement network  egp portal in saint lucia","the project development objective pdo is to a support the establishment and functioning of a public procurement network and to b  build a governmentwide egovernment procurement egp system for saint lucia",2020-07-31,169000,2020
"p171321","caribbean","caribbean ocean and aquaculture sustainability facility coast project","the project development objective is to strengthen financial resilience of caribbean countries through insuring against selected cli materelated events that impact the fisheries sector",2022-06-30,2400000,2022
"p171224","commonwealth of dominica","dominica  caribbean regional air transport connectivity project","the project development objectives pdo are to i improve operational safety and resilience readiness to natural disasters of air transportation and ii strengthen the capacity of key agencies in air transportation operations and airport investment planning in dominica",2020-10-29,0,2020
"p170860","st lucia","saint lucia  caribbean regional air transport connectivity project",NA,2027-06-30,0,2027
"p172951","grenada","grenada  caribbean regional air transport connectivity",NA,2026-06-30,0,2026
"p170907","republic of haiti","caribbean regional air transport connectivity project  haiti",NA,2026-06-30,0,2026
"p170850","federative republic of brazil","energy and mineral sectors strengthening project ii","to strengthen institutional capacity for market efficiency taking into consideration climate resilience in the energy and mining sec tors in brazil",2025-12-31,0,2025
"p172863","united mexican states","covid19 financial access dpf",NA,2021-05-31,0,2021
"p173876","oriental republic of uruguay","uruguay covid19 emergency response project","to strengthen the detection and response capacity of the uruguayan national health integrated system to the threat posed by covid19",2022-05-31,2e+07,2022
"p173984","plurinational state of bolivia","covid19 crisis emergency social safety nets project","the objective of the project is to provide temporary economic support to poor and vulnerable households impacted by the covid19 pan demic",2021-07-30,0,2021
"p171190","republic of ecuador","second inclusive and sustainable growth","this dpf series supports measures aimed at i responding to covid19 to protect the vulnerable ii removing barriers to the privat e sector development and supporting the economic recovery iii promoting public sector efficiency and fiscal sustainability postcr isis",2020-12-31,0,2020
"p169140","federative republic of brazil",NA,NA,2026-06-30,0,2026
"p173872","republic of el salvador","el salvador covid19 emergency response project","to respond to and mitigate the threat posed by covid19 and strengthen the national system for public health
preparedness in el salv ador",2023-12-31,7e+07,2023
"p173861","republic of honduras","honduras covid19 emergency response project","to detect and respond to the threat posed by covid19 in the republic of honduras",2023-04-30,2e+07,2023
"p172567","republic of honduras","honduras drm development policy credit with a catastrophe deferred drawdown option cat ddo","the pdo is to strengthen hondurass institutional and financial framework to manage the risk of adverse natural events including dis ease outbreaks",2023-06-30,0,2023
"p170658","republic of peru","centralized emergency response system project","the proposed project development objective is to provide a more efficient response to emergencies urgencies and associated help li ne requests from the population of lima metropolitan area and callao",2024-01-10,0,2024
"p173773","republic of ecuador","ecuador covid19 emergency response and vaccination project","to prevent and respond to the threat posed by covid19 and strengthen national systems for public health preparedness",2024-03-30,2e+07,2024
